.threshold,specificity,sensitivity,model
-Inf,0,1,Decision Tree
0.0701754385964912,0,1,Decision Tree
0.0769230769230769,0.0355411954765751,0.994694960212202,Decision Tree
0.128205128205128,0.037156704361874,0.994694960212202,Decision Tree
0.131756756756757,0.0807754442649434,0.984084880636605,Decision Tree
0.132492113564669,0.134087237479806,0.970822281167109,Decision Tree
0.142857142857143,0.177705977382876,0.957559681697613,Decision Tree
0.160194174757282,0.179321486268174,0.954907161803714,Decision Tree
0.16301703163017,0.227786752827141,0.928381962864722,Decision Tree
0.16624685138539,0.331179321486268,0.880636604774536,Decision Tree
0.167070217917676,0.403877221324717,0.854111405835544,Decision Tree
0.181818181818182,0.455573505654281,0.835543766578249,Decision Tree
0.184,0.455573505654281,0.83289124668435,Decision Tree
0.194711538461538,0.481421647819063,0.819628647214854,Decision Tree
0.196969696969697,0.550888529886914,0.80106100795756,Decision Tree
0.2,0.555735056542811,0.793103448275862,Decision Tree
0.205128205128205,0.55735056542811,0.787798408488064,Decision Tree
0.227272727272727,0.558966074313409,0.785145888594165,Decision Tree
0.230769230769231,0.563812600969305,0.779840848806366,Decision Tree
0.253968253968254,0.565428109854604,0.777188328912467,Decision Tree
0.265822784810127,0.570274636510501,0.76657824933687,Decision Tree
0.266666666666667,0.591276252019386,0.758620689655172,Decision Tree
0.28695652173913,0.591276252019386,0.753315649867374,Decision Tree
0.294117647058824,0.600969305331179,0.737400530503979,Decision Tree
0.297872340425532,0.602584814216478,0.73474801061008,Decision Tree
0.3,0.615508885298869,0.73209549071618,Decision Tree
0.307692307692308,0.618739903069467,0.73209549071618,Decision Tree
0.3125,0.621970920840065,0.73209549071618,Decision Tree
0.328,0.633279483037157,0.718832891246684,Decision Tree
0.348484848484848,0.651050080775444,0.708222811671088,Decision Tree
0.351351351351351,0.668820678513732,0.692307692307692,Decision Tree
0.352941176470588,0.681744749596123,0.673740053050398,Decision Tree
0.358024691358025,0.681744749596123,0.671087533156499,Decision Tree
0.363057324840764,0.69951534733441,0.652519893899204,Decision Tree
0.368055555555556,0.712439418416801,0.639257294429708,Decision Tree
0.368421052631579,0.733441033925687,0.623342175066313,Decision Tree
0.368421052631579,0.733441033925687,0.620689655172414,Decision Tree
0.425531914893617,0.738287560581583,0.615384615384615,Decision Tree
0.45,0.744749596122779,0.610079575596817,Decision Tree
0.515151515151515,0.749596122778675,0.604774535809019,Decision Tree
0.535714285714286,0.767366720516963,0.583554376657825,Decision Tree
0.538461538461538,0.768982229402262,0.583554376657825,Decision Tree
0.571428571428572,0.781906300484653,0.562334217506631,Decision Tree
0.577777777777778,0.783521809369952,0.559681697612732,Decision Tree
0.611111111111111,0.783521809369952,0.557029177718833,Decision Tree
0.613138686131387,0.786752827140549,0.551724137931035,Decision Tree
0.615384615384615,0.794830371567044,0.535809018567639,Decision Tree
0.618257261410788,0.79967689822294,0.53315649867374,Decision Tree
0.619246861924686,0.807754442649435,0.474801061007958,Decision Tree
0.622568093385214,0.825525040387722,0.416445623342175,Decision Tree
0.625,0.846526655896608,0.371352785145889,Decision Tree
0.62962962962963,0.846526655896608,0.36604774535809,Decision Tree
0.652360515021459,0.852988691437803,0.363395225464191,Decision Tree
0.663829787234043,0.873990306946688,0.320954907161804,Decision Tree
0.666666666666667,0.894991922455574,0.273209549071618,Decision Tree
0.666666666666667,0.906300484652666,0.20159151193634,Decision Tree
0.669565217391304,0.92891760904685,0.16710875331565,Decision Tree
0.672413793103448,0.940226171243942,0.129973474801061,Decision Tree
0.678030303030303,0.941841680129241,0.116710875331565,Decision Tree
0.714285714285714,0.975767366720517,0.0636604774535809,Decision Tree
0.764705882352941,0.977382875605816,0.0636604774535809,Decision Tree
0.77,0.977382875605816,0.0583554376657825,Decision Tree
0.785714285714286,0.980613893376414,0.0477453580901857,Decision Tree
0.8,0.980613893376414,0.0424403183023873,Decision Tree
0.8125,0.980613893376414,0.0397877984084881,Decision Tree
0.823529411764706,0.982229402261712,0.0344827586206897,Decision Tree
0.857142857142857,0.98546042003231,0.0318302387267905,Decision Tree
0.875,0.987075928917609,0.0318302387267905,Decision Tree
0.875,0.988691437802908,0.0318302387267905,Decision Tree
0.878787878787879,0.990306946688207,0.0238726790450928,Decision Tree
0.882352941176471,0.993537964458804,0.0159151193633952,Decision Tree
0.888888888888889,0.995153473344103,0.013262599469496,Decision Tree
0.896551724137931,0.995153473344103,0.0106100795755968,Decision Tree
0.9,0.996768982229402,0.00530503978779841,Decision Tree
1,0.998384491114701,0.0026525198938992,Decision Tree
Inf,1,0,Decision Tree
